"";"Order";"PID";"MS.SubClass";"MS.Zoning";"Lot.Frontage";"Lot.Area";"Street";"Alley";"Lot.Shape";"Land.Contour";"Utilities";"Lot.Config";"Land.Slope";"Neighborhood";"Condition.1";"Condition.2";"Bldg.Type";"House.Style";"Overall.Qual";"Overall.Cond";"Year.Built";"Year.Remod.Add";"Roof.Style";"Roof.Matl";"Exterior.1st";"Exterior.2nd";"Mas.Vnr.Type";"Mas.Vnr.Area";"Exter.Qual";"Exter.Cond";"Foundation";"Bsmt.Qual";"Bsmt.Cond";"Bsmt.Exposure";"BsmtFin.Type.1";"BsmtFin.SF.1";"BsmtFin.Type.2";"BsmtFin.SF.2";"Bsmt.Unf.SF";"Total.Bsmt.SF";"Heating";"Heating.QC";"Central.Air";"Electrical";"X1st.Flr.SF";"X2nd.Flr.SF";"Low.Qual.Fin.SF";"Gr.Liv.Area";"Bsmt.Full.Bath";"Bsmt.Half.Bath";"Full.Bath";"Half.Bath";"Bedroom.AbvGr";"Kitchen.AbvGr";"Kitchen.Qual";"TotRms.AbvGrd";"Functional";"Fireplaces";"Fireplace.Qu";"Garage.Type";"Garage.Yr.Blt";"Garage.Finish";"Garage.Cars";"Garage.Area";"Garage.Qual";"Garage.Cond";"Paved.Drive";"Wood.Deck.SF";"Open.Porch.SF";"Enclosed.Porch";"X3Ssn.Porch";"Screen.Porch";"Pool.Area";"Pool.QC";"Fence";"Misc.Feature";"Misc.Val";"Mo.Sold";"Yr.Sold";"Sale.Type";"Sale.Condition";"SalePrice"
"2464";2464;528480070;60;"FV";84;10728;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Somerst";"Norm";"Norm";"1Fam";"2Story";8;5;2006;2006;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"Gd";"TA";"PConc";"Gd";"TA";"Mn";"Unf";0;"Unf";0;1095;1095;"GasA";"Gd";"Y";"SBrkr";1095;844;0;1939;0;0;2;1;3;1;"Gd";8;"Typ";1;"Gd";"Attchd";2006;"RFn";3;1053;"TA";"TA";"Y";192;51;0;0;0;0;"NA";"NA";"NA";0;8;2006;"New";"Partial";266000
"1555";1555;911102090;70;"C (all)";60;5280;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"IDOTRR";"Feedr";"Norm";"1Fam";"2Story";4;7;1895;1950;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"TA";"TA";"Stone";"Po";"Fa";"No";"Unf";0;"Unf";0;173;173;"GasA";"Ex";"N";"SBrkr";825;536;0;1361;0;0;1;0;2;1;"TA";6;"Typ";0;"NA";"Detchd";1895;"Unf";1;185;"Fa";"TA";"Y";0;123;0;0;0;0;"NA";"NA";"NA";0;7;2008;"WD ";"Normal";89000
"2702";2702;904101040;80;"RL";92;6930;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"ClearCr";"Norm";"Norm";"1Fam";"SLvl";5;4;1958;1958;"Hip";"CompShg";"Wd Sdng";"ImStucc";"BrkFace";120;"TA";"TA";"CBlock";"TA";"TA";"Av";"BLQ";300;"Rec";294;468;1062;"GasA";"Ex";"Y";"FuseF";1352;0;0;1352;0;1;1;0;3;1;"Gd";6;"Min2";0;"NA";"BuiltIn";1958;"Unf";1;288;"TA";"TA";"Y";168;0;294;0;0;0;"NA";"NA";"NA";0;7;2006;"WD ";"Abnorml";130000
"980";980;923228230;160;"RM";21;2217;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"MeadowV";"Norm";"Norm";"TwnhsE";"2Story";4;4;1970;1970;"Gable";"CompShg";"CemntBd";"CmentBd";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"BLQ";273;"LwQ";273;0;546;"GasA";"TA";"Y";"SBrkr";546;546;0;1092;0;0;1;1;3;1;"TA";6;"Typ";0;"NA";"Attchd";1970;"RFn";1;286;"TA";"TA";"Y";238;0;0;0;0;0;"NA";"NA";"NA";0;8;2009;"WD ";"Normal";88000
"715";715;902301080;50;"RM";50;3500;"Pave";"Grvl";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"1.5Fin";5;7;1947;1950;"Gable";"CompShg";"AsbShng";"AsbShng";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"LwQ";312;"Unf";0;408;720;"GasA";"TA";"Y";"SBrkr";720;564;0;1284;0;0;1;1;2;1;"TA";5;"Typ";0;"NA";"Detchd";1948;"Unf";1;240;"TA";"TA";"Y";0;35;0;0;0;0;"NA";"MnWw";"NA";0;4;2009;"WD ";"Normal";110000
"2783";2783;907201160;60;"RL";50;8340;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"CollgCr";"Norm";"Norm";"1Fam";"2Story";6;6;1977;1977;"Gable";"CompShg";"HdBoard";"Plywood";"BrkFace";62;"TA";"TA";"CBlock";"Gd";"TA";"Av";"GLQ";509;"Unf";0;166;675;"GasA";"TA";"Y";"SBrkr";686;702;0;1388;0;0;1;1;3;1;"TA";6;"Typ";0;"NA";"Attchd";1977;"Unf";1;317;"TA";"TA";"Y";406;36;0;0;0;0;"NA";"NA";"NA";0;12;2006;"WD ";"Normal";157500
"1370";1370;903481100;190;"RM";60;10320;"Pave";"Grvl";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"IDOTRR";"Norm";"Norm";"2fmCon";"2Story";3;3;1915;1950;"Gable";"CompShg";"AsphShn";"AsphShn";"None";0;"Fa";"Fa";"PConc";"TA";"Fa";"No";"Unf";0;"Unf";0;536;536;"GasA";"Ex";"N";"FuseF";808;536;0;1344;0;0;2;0;3;2;"TA";8;"Typ";0;"NA";"NA";NA;"NA";0;0;"NA";"NA";"N";42;0;204;0;0;0;"NA";"NA";"NA";0;5;2008;"WD ";"Normal";82375
"2217";2217;909279080;50;"RL";NA;11275;"Pave";"NA";"IR1";"HLS";"AllPub";"Corner";"Mod";"Crawfor";"Norm";"Norm";"1Fam";"1.5Fin";6;7;1932;1950;"Gable";"CompShg";"MetalSd";"MetalSd";"BrkFace";480;"TA";"TA";"CBlock";"TA";"TA";"Mn";"Rec";297;"LwQ";557;0;854;"GasA";"TA";"Y";"SBrkr";1096;895;0;1991;0;0;1;1;3;1;"TA";7;"Typ";1;"Gd";"Detchd";1977;"Unf";2;432;"TA";"Fa";"Y";0;0;19;0;0;0;"NA";"NA";"NA";0;3;2007;"WD ";"Normal";220000
"1362";1362;903454100;50;"RM";60;6876;"Pave";"NA";"Reg";"Bnk";"AllPub";"Inside";"Gtl";"IDOTRR";"Norm";"Norm";"1Fam";"1.5Fin";6;6;1938;1958;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"TA";"TA";"BrkTil";"TA";"TA";"No";"Unf";0;"Unf";0;1272;1272;"GasA";"TA";"Y";"SBrkr";1272;0;697;1969;0;0;2;0;4;1;"TA";9;"Min1";1;"Gd";"Detchd";1938;"Unf";2;400;"TA";"TA";"Y";0;34;0;0;0;0;"NA";"NA";"NA";0;11;2008;"COD";"Normal";141000
"2442";2442;528294070;60;"RL";66;8738;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Gilbert";"Norm";"Norm";"1Fam";"2Story";7;5;1999;1999;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";302;"Gd";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;975;975;"GasA";"Ex";"Y";"SBrkr";1005;1286;0;2291;0;0;2;1;4;1;"Gd";8;"Typ";1;"TA";"BuiltIn";1999;"Fin";2;429;"TA";"TA";"Y";192;0;0;0;0;0;"NA";"NA";"NA";0;2;2006;"WD ";"Normal";230000
